[2025-04-09 18:23:28] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:28, systemid=3, lat=null, lon=null, alt=null, dist_traveled=null, wp_dist=null, dist_to_home=0.0, vertical_speed=0.04857224, ground_speed=24.978832, wind_vel=0.0, airspeed=24.91136, gps_hdop=0.0, roll=0.65, pitch=-2.21, yaw=32.64, ch3percent=null, ch9out=0.0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0.0, battery_current=0.0, waypoints_count=0}
[2025-04-09 18:23:29] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:29, systemid=3, lat=35.0706748, lon=129.088855, alt=29.95, dist_traveled=null, wp_dist=484, dist_to_home=1.3462104224417333E7, vertical_speed=0.053866286, ground_speed=25.013739, wind_vel=0.01568925, airspeed=24.928976, gps_hdop=1.21, roll=0.40, pitch=-2.22, yaw=32.88, ch3percent=63.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1635}
[2025-04-09 18:23:30] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:30, systemid=3, lat=35.0708623, lon=129.0890043, alt=29.956, dist_traveled=null, wp_dist=459, dist_to_home=1.3462107718140122E7, vertical_speed=-0.016286276, ground_speed=24.985723, wind_vel=0.015746659, airspeed=24.946318, gps_hdop=1.21, roll=0.41, pitch=-2.36, yaw=33.14, ch3percent=63.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1634}
[2025-04-09 18:23:31] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:31, systemid=3, lat=35.0710498, lon=129.089154, alt=29.956, dist_traveled=null, wp_dist=434, dist_to_home=1.3462111244726298E7, vertical_speed=-0.010154896, ground_speed=24.971287, wind_vel=0.016028726, airspeed=24.948994, gps_hdop=1.21, roll=0.09, pitch=-2.30, yaw=33.11, ch3percent=63.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1636}
[2025-04-09 18:23:32] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:32, systemid=3, lat=35.0712383, lon=129.0893044, alt=29.948, dist_traveled=null, wp_dist=409, dist_to_home=1.3462114781882575E7, vertical_speed=0.0065917647, ground_speed=25.0017, wind_vel=0.01615854, airspeed=24.978872, gps_hdop=1.21, roll=0.25, pitch=-2.34, yaw=33.19, ch3percent=63.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1634}
[2025-04-09 18:23:33] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:33, systemid=3, lat=35.0714272, lon=129.0894553, alt=29.993, dist_traveled=null, wp_dist=384, dist_to_home=1.346211834133382E7, vertical_speed=0.07888011, ground_speed=25.030342, wind_vel=0.015946113, airspeed=24.981241, gps_hdop=1.21, roll=0.07, pitch=-2.16, yaw=33.26, ch3percent=63.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1632}
[2025-04-09 18:23:34] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:34, systemid=3, lat=35.0716159, lon=129.0896063, alt=30.026, dist_traveled=null, wp_dist=359, dist_to_home=1.346212191831332E7, vertical_speed=-0.01673076, ground_speed=25.04337, wind_vel=0.01571158, airspeed=24.951029, gps_hdop=1.21, roll=0.34, pitch=-2.39, yaw=33.30, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
[2025-04-09 18:23:35] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:35, systemid=3, lat=35.0718042, lon=129.0897572, alt=30.041, dist_traveled=null, wp_dist=334, dist_to_home=1.3462125505735163E7, vertical_speed=0.012880052, ground_speed=25.053373, wind_vel=0.015689796, airspeed=24.957796, gps_hdop=1.21, roll=0.02, pitch=-2.40, yaw=33.35, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
[2025-04-09 18:23:36] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:36, systemid=3, lat=35.0719921, lon=129.0899076, alt=30.037, dist_traveled=null, wp_dist=309, dist_to_home=1.3462129070614621E7, vertical_speed=-0.007942974, ground_speed=25.005842, wind_vel=0.015793886, airspeed=24.983397, gps_hdop=1.21, roll=0.02, pitch=-2.30, yaw=33.30, ch3percent=63.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1630}
[2025-04-09 18:23:37] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:37, systemid=3, lat=35.0721792, lon=129.0900573, alt=30.012, dist_traveled=null, wp_dist=284, dist_to_home=1.3462132615273774E7, vertical_speed=-0.041311353, ground_speed=24.984558, wind_vel=0.015855892, airspeed=24.993532, gps_hdop=1.21, roll=0.02, pitch=-2.39, yaw=33.30, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
[2025-04-09 18:23:38] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:38, systemid=3, lat=35.0723681, lon=129.0902085, alt=30.026, dist_traveled=null, wp_dist=259, dist_to_home=1.3462136198841957E7, vertical_speed=-0.015280356, ground_speed=25.01164, wind_vel=0.015769906, airspeed=24.964006, gps_hdop=1.21, roll=0.21, pitch=-2.43, yaw=33.40, ch3percent=63.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1631}
[2025-04-09 18:23:39] {GCS_IP=13.213.62.184, timestamp=2025-04-09 18:23:39, systemid=3, lat=35.0725562, lon=129.0903593, alt=30.012, dist_traveled=null, wp_dist=234, dist_to_home=1.3462139786928289E7, vertical_speed=0.0061143995, ground_speed=25.034693, wind_vel=0.01574431, airspeed=25.001371, gps_hdop=1.21, roll=0.00, pitch=-2.37, yaw=33.46, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
