[2025-04-09 18:24:39] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:39, systemid=3, lat=35.0683093, lon=129.0868031, alt=28.431, dist_traveled=null, wp_dist=807, dist_to_home=1.3462046254820941E7, vertical_speed=-0.13952416, ground_speed=24.970484, wind_vel=0.01266997, airspeed=24.890892, gps_hdop=1.21, roll=-2.21, pitch=-2.71, yaw=44.78, ch3percent=63.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1636}
[2025-04-09 18:24:40] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:40, systemid=3, lat=35.0684716, lon=129.0869939, alt=28.415, dist_traveled=null, wp_dist=782, dist_to_home=1.3462054357702674E7, vertical_speed=0.092023395, ground_speed=25.080729, wind_vel=0.010408315, airspeed=24.974699, gps_hdop=1.21, roll=-5.86, pitch=-2.21, yaw=43.52, ch3percent=65.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1651}
[2025-04-09 18:24:41] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:41, systemid=3, lat=35.0686399, lon=129.0871784, alt=28.606, dist_traveled=null, wp_dist=758, dist_to_home=1.346206165873684E7, vertical_speed=0.2417879, ground_speed=25.133896, wind_vel=0.008238243, airspeed=25.019861, gps_hdop=1.21, roll=-7.15, pitch=-1.78, yaw=41.39, ch3percent=64.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1648}
[2025-04-09 18:24:42] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:42, systemid=3, lat=35.0688143, lon=129.0873538, alt=28.843, dist_traveled=null, wp_dist=733, dist_to_home=1.3462067922306312E7, vertical_speed=0.27712303, ground_speed=25.119411, wind_vel=0.0067886403, airspeed=25.062386, gps_hdop=1.21, roll=-6.90, pitch=-1.70, yaw=39.01, ch3percent=64.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1644}
[2025-04-09 18:24:43] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:43, systemid=3, lat=35.0689934, lon=129.0875194, alt=29.078, dist_traveled=null, wp_dist=708, dist_to_home=1.3462073156523356E7, vertical_speed=0.18538404, ground_speed=25.016806, wind_vel=0.006409835, airspeed=24.992071, gps_hdop=1.21, roll=-5.71, pitch=-1.84, yaw=36.60, ch3percent=64.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1642}
[2025-04-09 18:24:44] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:44, systemid=3, lat=35.0691759, lon=129.0876765, alt=29.258, dist_traveled=null, wp_dist=683, dist_to_home=1.3462077529737417E7, vertical_speed=0.18830326, ground_speed=24.966146, wind_vel=0.006673023, airspeed=24.987503, gps_hdop=1.21, roll=-4.07, pitch=-1.86, yaw=34.88, ch3percent=64.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1641}
[2025-04-09 18:24:45] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:45, systemid=3, lat=35.0693631, lon=129.0878295, alt=29.401, dist_traveled=null, wp_dist=658, dist_to_home=1.3462081343675148E7, vertical_speed=0.17980148, ground_speed=24.957762, wind_vel=0.006776012, airspeed=24.968046, gps_hdop=1.21, roll=-2.50, pitch=-1.84, yaw=33.65, ch3percent=63.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1638}
[2025-04-09 18:24:46] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:46, systemid=3, lat=35.0695518, lon=129.0879789, alt=29.57, dist_traveled=null, wp_dist=633, dist_to_home=1.3462084790061284E7, vertical_speed=0.13872059, ground_speed=24.956198, wind_vel=0.0064370516, airspeed=24.937654, gps_hdop=1.21, roll=-1.44, pitch=-2.06, yaw=32.97, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
[2025-04-09 18:24:47] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:47, systemid=3, lat=35.0697416, lon=129.0881264, alt=29.664, dist_traveled=null, wp_dist=608, dist_to_home=1.3462088027903838E7, vertical_speed=0.085995816, ground_speed=24.962193, wind_vel=0.0053164475, airspeed=24.931465, gps_hdop=1.21, roll=-0.39, pitch=-2.14, yaw=32.51, ch3percent=63.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1637}
[2025-04-09 18:24:48] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:48, systemid=3, lat=35.0699315, lon=129.0882729, alt=29.739, dist_traveled=null, wp_dist=583, dist_to_home=1.3462091178453328E7, vertical_speed=0.10461178, ground_speed=24.968393, wind_vel=0.005074136, airspeed=24.945892, gps_hdop=1.21, roll=0.05, pitch=-2.08, yaw=32.37, ch3percent=63.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1634}
[2025-04-09 18:24:49] {GCS_IP=202.165.85.175, timestamp=2025-04-09 18:24:49, systemid=3, lat=35.0701216, lon=129.0884194, alt=29.83, dist_traveled=null, wp_dist=558, dist_to_home=1.3462094319474276E7, vertical_speed=0.080319606, ground_speed=24.960499, wind_vel=0.0050522387, airspeed=24.965765, gps_hdop=1.21, roll=0.61, pitch=-2.15, yaw=32.49, ch3percent=63.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, waypoints=[], home_location={lon=0.0, lat=0.0}, ch3out=1633}
