[2025-04-10 02:55:24] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:24, systemid=3, lat=35.0685152, lon=129.0897116, alt=29.853, dist_traveled=null, wp_dist=269, dist_to_home=1.3462276432990892E7, vertical_speed=-0.10603938, ground_speed=25.524956, wind_vel=0.0, airspeed=24.964106, gps_hdop=1.21, roll=38.76, pitch=-2.93, yaw=-158.25, ch3percent=72.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1722}
[2025-04-10 02:55:25] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:25, systemid=3, lat=35.0683202, lon=129.0895616, alt=30.419, dist_traveled=null, wp_dist=245, dist_to_home=1.3462273233596994E7, vertical_speed=0.37718487, ground_speed=25.711788, wind_vel=0.2901665, airspeed=25.150724, gps_hdop=1.21, roll=23.24, pitch=-1.74, yaw=-144.94, ch3percent=64.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1646, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:26] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:26, systemid=3, lat=35.0681487, lon=129.0893754, alt=30.371, dist_traveled=null, wp_dist=220, dist_to_home=1.346226594351073E7, vertical_speed=-0.04801708, ground_speed=25.625881, wind_vel=0.28987774, airspeed=25.043367, gps_hdop=1.21, roll=22.91, pitch=-1.94, yaw=-136.33, ch3percent=65.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1651, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:27] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:27, systemid=3, lat=35.0679994, lon=129.0891633, alt=30.177, dist_traveled=null, wp_dist=195, dist_to_home=1.3462255473295428E7, vertical_speed=-0.25112525, ground_speed=25.550585, wind_vel=0.28794423, airspeed=25.004183, gps_hdop=1.21, roll=15.54, pitch=-2.80, yaw=-129.55, ch3percent=64.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1644, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:28] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:28, systemid=3, lat=35.0678661, lon=129.0889362, alt=29.966, dist_traveled=null, wp_dist=170, dist_to_home=1.3462243013449354E7, vertical_speed=-0.18539983, ground_speed=25.50742, wind_vel=0.2844919, airspeed=25.02155, gps_hdop=1.21, roll=8.42, pitch=-2.83, yaw=-125.05, ch3percent=64.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1645, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:29] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:29, systemid=3, lat=35.067742, lon=129.0887013, alt=29.799, dist_traveled=null, wp_dist=144, dist_to_home=1.3462229477553202E7, vertical_speed=-0.08962604, ground_speed=25.486116, wind_vel=0.28012484, airspeed=24.992115, gps_hdop=1.21, roll=3.17, pitch=-2.64, yaw=-122.90, ch3percent=65.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1652, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:30] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:30, systemid=3, lat=35.0676214, lon=129.0884634, alt=29.706, dist_traveled=null, wp_dist=119, dist_to_home=1.3462215529526055E7, vertical_speed=-0.02264758, ground_speed=25.486532, wind_vel=0.27631062, airspeed=25.03285, gps_hdop=1.21, roll=-0.24, pitch=-2.49, yaw=-122.08, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:31] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:31, systemid=3, lat=35.0675006, lon=129.0882253, alt=29.687, dist_traveled=null, wp_dist=93, dist_to_home=1.3462201574287515E7, vertical_speed=0.011177975, ground_speed=25.49408, wind_vel=0.27321798, airspeed=25.012875, gps_hdop=1.21, roll=-1.88, pitch=-2.41, yaw=-122.46, ch3percent=66.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1662, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:32] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:32, systemid=3, lat=35.0673784, lon=129.0879906, alt=29.732, dist_traveled=null, wp_dist=68, dist_to_home=1.3462187965163505E7, vertical_speed=0.047302272, ground_speed=25.438196, wind_vel=0.27085662, airspeed=25.01895, gps_hdop=1.21, roll=-2.77, pitch=-2.35, yaw=-123.21, ch3percent=66.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1662, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:33] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:33, systemid=3, lat=35.0672528, lon=129.0877575, alt=29.773, dist_traveled=null, wp_dist=43, dist_to_home=1.3462174647760147E7, vertical_speed=0.051550698, ground_speed=25.439678, wind_vel=0.26950422, airspeed=25.019796, gps_hdop=1.21, roll=-2.82, pitch=-2.35, yaw=-124.03, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:34] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:34, systemid=3, lat=35.0671237, lon=129.0875259, alt=29.824, dist_traveled=null, wp_dist=17, dist_to_home=1.346216161852981E7, vertical_speed=0.05541464, ground_speed=25.4648, wind_vel=0.26912838, airspeed=25.030481, gps_hdop=1.21, roll=-2.51, pitch=-2.32, yaw=-124.92, ch3percent=66.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1660, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:35] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:35, systemid=3, lat=35.066992, lon=129.0872969, alt=29.928, dist_traveled=null, wp_dist=119, dist_to_home=1.3462148925864987E7, vertical_speed=0.08553445, ground_speed=25.476015, wind_vel=0.2696624, airspeed=24.950733, gps_hdop=1.21, roll=-1.88, pitch=-2.37, yaw=-125.70, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:36] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:36, systemid=3, lat=35.066877, lon=129.0870541, alt=29.964, dist_traveled=null, wp_dist=100, dist_to_home=1.3462134309644451E7, vertical_speed=0.9031609, ground_speed=25.90328, wind_vel=0.26843163, airspeed=25.104708, gps_hdop=1.21, roll=48.89, pitch=4.53, yaw=-107.78, ch3percent=91.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1916, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:37] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:37, systemid=3, lat=35.066845, lon=129.0867773, alt=31.147, dist_traveled=null, wp_dist=78, dist_to_home=1.3462112986215133E7, vertical_speed=-0.34476936, ground_speed=25.570765, wind_vel=0.26586893, airspeed=25.091274, gps_hdop=1.21, roll=39.33, pitch=-2.09, yaw=-95.58, ch3percent=65.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1654, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:38] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:38, systemid=3, lat=35.0668666, lon=129.0864997, alt=30.96, dist_traveled=null, wp_dist=956, dist_to_home=1.3462089076245736E7, vertical_speed=-0.3172866, ground_speed=25.66748, wind_vel=0.25964007, airspeed=25.127861, gps_hdop=1.21, roll=57.89, pitch=-0.83, yaw=-75.52, ch3percent=85.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1858, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:39] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:39, systemid=3, lat=35.0670006, lon=129.0862729, alt=31.872, dist_traveled=null, wp_dist=955, dist_to_home=1.3462064070345165E7, vertical_speed=1.8645968, ground_speed=26.014471, wind_vel=0.24909933, airspeed=25.704086, gps_hdop=1.21, roll=53.49, pitch=4.03, yaw=-40.24, ch3percent=72.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1723, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:40] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:40, systemid=3, lat=35.0672034, lon=129.0861361, alt=32.508, dist_traveled=null, wp_dist=943, dist_to_home=1.346204325170865E7, vertical_speed=-0.09302411, ground_speed=25.781197, wind_vel=0.23011929, airspeed=25.447884, gps_hdop=1.21, roll=52.57, pitch=-0.10, yaw=-21.06, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:41] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:41, systemid=3, lat=35.0674316, lon=129.0861, alt=32.189, dist_traveled=null, wp_dist=924, dist_to_home=1.34620295435754E7, vertical_speed=-0.42828834, ground_speed=25.59983, wind_vel=0.2106811, airspeed=25.2283, gps_hdop=1.21, roll=48.34, pitch=-1.03, yaw=0.69, ch3percent=60.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1607, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:42] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:42, systemid=3, lat=35.0676548, lon=129.0861599, alt=31.416, dist_traveled=null, wp_dist=901, dist_to_home=1.3462023987774255E7, vertical_speed=-0.9451044, ground_speed=25.389112, wind_vel=0.19159545, airspeed=24.983269, gps_hdop=1.21, roll=40.75, pitch=-2.67, yaw=18.03, ch3percent=57.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1575, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:43] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:43, systemid=3, lat=35.0678562, lon=129.0862898, alt=30.305, dist_traveled=null, wp_dist=876, dist_to_home=1.3462025229988564E7, vertical_speed=-1.0422571, ground_speed=25.306707, wind_vel=0.17398031, airspeed=24.870253, gps_hdop=1.21, roll=29.22, pitch=-3.62, yaw=31.35, ch3percent=57.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1579, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:44] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:44, systemid=3, lat=35.0680336, lon=129.0864605, alt=29.294, dist_traveled=null, wp_dist=850, dist_to_home=1.3462030965486638E7, vertical_speed=-0.8792253, ground_speed=25.239883, wind_vel=0.15415366, airspeed=24.79129, gps_hdop=1.21, roll=15.48, pitch=-3.96, yaw=39.75, ch3percent=60.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1601, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:45] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:45, systemid=3, lat=35.0681979, lon=129.0866511, alt=28.589, dist_traveled=null, wp_dist=826, dist_to_home=1.3462038958049286E7, vertical_speed=-0.453018, ground_speed=25.284588, wind_vel=0.13571186, airspeed=24.851732, gps_hdop=1.21, roll=3.90, pitch=-3.31, yaw=43.64, ch3percent=63.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1637, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:46] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:46, systemid=3, lat=35.0683593, lon=129.0868473, alt=28.299, dist_traveled=null, wp_dist=801, dist_to_home=1.3462047548687713E7, vertical_speed=-0.05057305, ground_speed=25.367765, wind_vel=0.11988318, airspeed=24.87866, gps_hdop=1.21, roll=-3.08, pitch=-2.42, yaw=44.06, ch3percent=66.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1665, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:47] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:47, systemid=3, lat=35.0685246, lon=129.0870409, alt=28.317, dist_traveled=null, wp_dist=776, dist_to_home=1.3462055741369285E7, vertical_speed=0.17091754, ground_speed=25.455154, wind_vel=0.105287805, airspeed=24.970238, gps_hdop=1.21, roll=-6.25, pitch=-2.00, yaw=42.66, ch3percent=67.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1674, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 02:55:48] {GCS_IP=13.213.62.184, timestamp=2025-04-10 02:55:48, systemid=3, lat=35.0686959, lon=129.0872267, alt=28.568, dist_traveled=null, wp_dist=750, dist_to_home=1.3462063008495027E7, vertical_speed=0.24095738, ground_speed=25.455713, wind_vel=0.09056706, airspeed=24.984915, gps_hdop=1.21, roll=-7.19, pitch=-1.83, yaw=40.28, ch3percent=67.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1673, waypoints=[], home_location={lat=0.0, lon=0.0}}
