[2025-04-10 03:27:46] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:46, systemid=3, lat=35.073569, lon=129.0923471, alt=27.183, dist_traveled=null, wp_dist=626, dist_to_home=1.3462256064034782E7, vertical_speed=-0.56596994, ground_speed=24.129744, wind_vel=0.0, airspeed=23.714626, gps_hdop=1.21, roll=42.74, pitch=-1.38, yaw=-161.67, ch3percent=59.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1599}
[2025-04-10 03:27:47] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:47, systemid=3, lat=35.0732837, lon=129.0921612, alt=26.074, dist_traveled=null, wp_dist=590, dist_to_home=1.3462254154778158E7, vertical_speed=-0.74361324, ground_speed=24.314648, wind_vel=0.17087936, airspeed=23.863455, gps_hdop=1.21, roll=21.40, pitch=-3.26, yaw=-145.87, ch3percent=59.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1599, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:27:48] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:48, systemid=3, lat=35.073113, lon=129.0919918, alt=25.473, dist_traveled=null, wp_dist=567, dist_to_home=1.3462248215359012E7, vertical_speed=-0.2576666, ground_speed=24.583408, wind_vel=0.15643387, airspeed=24.061419, gps_hdop=1.21, roll=3.11, pitch=-2.74, yaw=-140.69, ch3percent=64.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1646, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:27:49] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:49, systemid=3, lat=35.0729423, lon=129.0918157, alt=25.445, dist_traveled=null, wp_dist=543, dist_to_home=1.3462241723328797E7, vertical_speed=0.3075529, ground_speed=24.842672, wind_vel=0.14219461, airspeed=24.306376, gps_hdop=1.21, roll=-7.67, pitch=-1.53, yaw=-141.16, ch3percent=68.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1687, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:27:50] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:50, systemid=3, lat=35.0727649, lon=129.0916497, alt=25.86, dist_traveled=null, wp_dist=519, dist_to_home=1.346223637917808E7, vertical_speed=0.56768984, ground_speed=25.017017, wind_vel=0.12780224, airspeed=24.526762, gps_hdop=1.21, roll=-12.07, pitch=-0.87, yaw=-144.48, ch3percent=70.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1701, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:27:51] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:51, systemid=3, lat=35.0725758, lon=129.0914981, alt=26.483, dist_traveled=null, wp_dist=495, dist_to_home=1.3462232772676766E7, vertical_speed=0.61949617, ground_speed=25.126387, wind_vel=0.11475606, airspeed=24.62182, gps_hdop=1.21, roll=-13.13, pitch=-0.85, yaw=-148.76, ch3percent=70.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1701, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:27:52] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:52, systemid=3, lat=35.0723784, lon=129.0913649, alt=27.138, dist_traveled=null, wp_dist=470, dist_to_home=1.3462231073750619E7, vertical_speed=0.5412563, ground_speed=25.223164, wind_vel=0.10332829, airspeed=24.763805, gps_hdop=1.21, roll=-11.73, pitch=-1.17, yaw=-153.06, ch3percent=68.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1687, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:27:53] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:53, systemid=3, lat=35.0721723, lon=129.0912478, alt=27.727, dist_traveled=null, wp_dist=445, dist_to_home=1.3462231111560253E7, vertical_speed=0.42736676, ground_speed=25.234531, wind_vel=0.09395462, airspeed=24.79025, gps_hdop=1.21, roll=-9.01, pitch=-1.51, yaw=-156.67, ch3percent=67.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1677, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:27:54] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:54, systemid=3, lat=35.0719629, lon=129.0911448, alt=28.206, dist_traveled=null, wp_dist=420, dist_to_home=1.3462232467195956E7, vertical_speed=0.34088984, ground_speed=25.198345, wind_vel=0.087023, airspeed=24.738974, gps_hdop=1.21, roll=-6.91, pitch=-1.72, yaw=-159.54, ch3percent=67.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1670, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:27:55] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:55, systemid=3, lat=35.0717503, lon=129.0910519, alt=28.594, dist_traveled=null, wp_dist=395, dist_to_home=1.3462234806113338E7, vertical_speed=0.30138198, ground_speed=25.19491, wind_vel=0.08471649, airspeed=24.78318, gps_hdop=1.21, roll=-4.15, pitch=-1.86, yaw=-161.56, ch3percent=66.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1665, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:27:56] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:56, systemid=3, lat=35.0715353, lon=129.0909647, alt=28.906, dist_traveled=null, wp_dist=370, dist_to_home=1.346223772785301E7, vertical_speed=0.25714186, ground_speed=25.23338, wind_vel=0.08619929, airspeed=24.735558, gps_hdop=1.21, roll=-2.12, pitch=-2.03, yaw=-162.65, ch3percent=66.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1664, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 03:27:57] {GCS_IP=13.213.62.184, timestamp=2025-04-10 03:27:57, systemid=3, lat=35.0713193, lon=129.0908804, alt=29.176, dist_traveled=null, wp_dist=344, dist_to_home=1.3462240935671851E7, vertical_speed=0.21316357, ground_speed=25.273512, wind_vel=0.090347216, airspeed=24.794626, gps_hdop=1.21, roll=-0.70, pitch=-2.18, yaw=-163.12, ch3percent=66.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1660, waypoints=[], home_location={lat=0.0, lon=0.0}}
