[2025-04-10 04:38:08] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:08, systemid=3, lat=35.0674927, lon=129.086094, alt=31.895, dist_traveled=null, wp_dist=919, dist_to_home=1.3462026175565667E7, vertical_speed=-0.6590012, ground_speed=25.542599, wind_vel=0.19297527, airspeed=25.180548, gps_hdop=1.21, roll=46.40, pitch=-1.66, yaw=6.71, ch3percent=59.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1597}
[2025-04-10 04:38:10] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:09, systemid=3, lat=35.0677081, lon=129.0861794, alt=31.023, dist_traveled=null, wp_dist=895, dist_to_home=1.3462023089553729E7, vertical_speed=-1.002894, ground_speed=25.274899, wind_vel=0.18045756, airspeed=24.963171, gps_hdop=1.21, roll=37.29, pitch=-3.01, yaw=22.89, ch3percent=57.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1570, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:11] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:10, systemid=3, lat=35.0679016, lon=129.0863258, alt=29.86, dist_traveled=null, wp_dist=870, dist_to_home=1.34620260640065E7, vertical_speed=-1.0212249, ground_speed=25.26641, wind_vel=0.1672375, airspeed=24.850746, gps_hdop=1.21, roll=25.00, pitch=-3.75, yaw=34.44, ch3percent=58.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1586, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:12] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:11, systemid=3, lat=35.0680739, lon=129.0865055, alt=28.96, dist_traveled=null, wp_dist=845, dist_to_home=1.3462032781537598E7, vertical_speed=-0.664896, ground_speed=25.253939, wind_vel=0.15097864, airspeed=24.81057, gps_hdop=1.21, roll=11.26, pitch=-3.58, yaw=41.40, ch3percent=61.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1614, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:13] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:12, systemid=3, lat=35.0682365, lon=129.0866998, alt=28.391, dist_traveled=null, wp_dist=820, dist_to_home=1.3462041159151936E7, vertical_speed=-0.30315563, ground_speed=25.343683, wind_vel=0.13697053, airspeed=24.84675, gps_hdop=1.21, roll=1.13, pitch=-2.93, yaw=43.95, ch3percent=65.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1650, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:14] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:13, systemid=3, lat=35.0683996, lon=129.0868977, alt=28.221, dist_traveled=null, wp_dist=795, dist_to_home=1.3462049810012154E7, vertical_speed=0.074207775, ground_speed=25.479284, wind_vel=0.1251566, airspeed=24.933455, gps_hdop=1.21, roll=-4.75, pitch=-2.12, yaw=43.57, ch3percent=67.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1672, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:15] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:14, systemid=3, lat=35.0685661, lon=129.0870886, alt=28.39, dist_traveled=null, wp_dist=770, dist_to_home=1.3462057723560428E7, vertical_speed=0.19501257, ground_speed=25.469255, wind_vel=0.111814395, airspeed=24.93226, gps_hdop=1.21, roll=-6.96, pitch=-1.82, yaw=41.69, ch3percent=67.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1675, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:16] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:15, systemid=3, lat=35.0687387, lon=129.0872709, alt=28.666, dist_traveled=null, wp_dist=744, dist_to_home=1.3462064640875664E7, vertical_speed=0.2580472, ground_speed=25.432264, wind_vel=0.09910852, airspeed=24.964018, gps_hdop=1.21, roll=-7.56, pitch=-1.77, yaw=39.18, ch3percent=67.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1672, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:17] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:16, systemid=3, lat=35.0689163, lon=129.0874427, alt=28.938, dist_traveled=null, wp_dist=719, dist_to_home=1.3462070456998369E7, vertical_speed=0.2247774, ground_speed=25.351892, wind_vel=0.08683311, airspeed=24.966366, gps_hdop=1.21, roll=-6.62, pitch=-1.76, yaw=36.80, ch3percent=66.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1669, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:18] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:18, systemid=3, lat=35.0691007, lon=129.0876075, alt=29.232, dist_traveled=null, wp_dist=694, dist_to_home=1.3462075375922374E7, vertical_speed=0.20529944, ground_speed=25.350609, wind_vel=0.07998936, airspeed=24.935455, gps_hdop=1.21, roll=-5.13, pitch=-2.01, yaw=34.67, ch3percent=66.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1663, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:19] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:18, systemid=3, lat=35.0692896, lon=129.0877666, alt=29.494, dist_traveled=null, wp_dist=668, dist_to_home=1.3462079613020215E7, vertical_speed=0.18711072, ground_speed=25.39495, wind_vel=0.07678661, airspeed=24.876896, gps_hdop=1.21, roll=-3.57, pitch=-2.11, yaw=33.35, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 04:38:20] {GCS_IP=13.213.62.184, timestamp=2025-04-10 04:38:19, systemid=3, lat=35.0694789, lon=129.0879194, alt=29.67, dist_traveled=null, wp_dist=643, dist_to_home=1.3462083311629288E7, vertical_speed=0.12018262, ground_speed=25.350443, wind_vel=0.07547089, airspeed=24.874485, gps_hdop=1.21, roll=-2.34, pitch=-2.27, yaw=32.16, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lon=0.0, lat=0.0}}
