[2025-04-10 05:19:37] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:37, systemid=3, lat=35.0729846, lon=129.0906986, alt=30.024, dist_traveled=null, wp_dist=177, dist_to_home=1.3462147616258275E7, vertical_speed=0.026922783, ground_speed=25.50125, wind_vel=0.0, airspeed=24.976934, gps_hdop=1.21, roll=0.14, pitch=-2.45, yaw=32.66, ch3percent=65.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1654}
[2025-04-10 05:19:38] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:38, systemid=3, lat=35.073176, lon=129.0908519, alt=30.015, dist_traveled=null, wp_dist=151, dist_to_home=1.346215125487254E7, vertical_speed=0.010519842, ground_speed=25.49063, wind_vel=0.1852124, airspeed=24.98156, gps_hdop=1.21, roll=-0.01, pitch=-2.40, yaw=32.70, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:39] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:39, systemid=3, lat=35.0733673, lon=129.0910052, alt=30.01, dist_traveled=null, wp_dist=126, dist_to_home=1.346215489806212E7, vertical_speed=-0.021381179, ground_speed=25.482107, wind_vel=0.19136451, airspeed=25.01492, gps_hdop=1.21, roll=-0.01, pitch=-2.46, yaw=32.68, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:40] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:40, systemid=3, lat=35.0735585, lon=129.0911581, alt=30.001, dist_traveled=null, wp_dist=100, dist_to_home=1.3462158512842938E7, vertical_speed=-0.015317905, ground_speed=25.47425, wind_vel=0.19752675, airspeed=24.9669, gps_hdop=1.21, roll=0.20, pitch=-2.39, yaw=32.59, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:41] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:41, systemid=3, lat=35.0737493, lon=129.0913108, alt=29.98, dist_traveled=null, wp_dist=75, dist_to_home=1.3462162129818792E7, vertical_speed=-0.024383182, ground_speed=25.42393, wind_vel=0.20514826, airspeed=25.027164, gps_hdop=1.21, roll=0.05, pitch=-2.40, yaw=32.77, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:42] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:42, systemid=3, lat=35.0740344, lon=129.0915406, alt=29.975, dist_traveled=null, wp_dist=649, dist_to_home=1.3462167668630095E7, vertical_speed=0.014795139, ground_speed=25.390064, wind_vel=0.21610042, airspeed=24.966805, gps_hdop=1.21, roll=43.36, pitch=-4.32, yaw=37.35, ch3percent=71.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1713, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:43] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:43, systemid=3, lat=35.0741371, lon=129.0917726, alt=30.445, dist_traveled=null, wp_dist=666, dist_to_home=1.346218196839595E7, vertical_speed=2.2208166, ground_speed=24.221672, wind_vel=0.21897519, airspeed=24.318933, gps_hdop=1.21, roll=53.00, pitch=5.66, yaw=84.58, ch3percent=26.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1262, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:44] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:44, systemid=3, lat=35.0741224, lon=129.0920279, alt=30.364, dist_traveled=null, wp_dist=672, dist_to_home=1.3462203711715039E7, vertical_speed=-1.625639, ground_speed=23.147867, wind_vel=0.21759428, airspeed=22.779385, gps_hdop=1.21, roll=55.09, pitch=-2.74, yaw=101.93, ch3percent=45.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1456, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:45] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:45, systemid=3, lat=35.0740232, lon=129.0922473, alt=28.723, dist_traveled=null, wp_dist=669, dist_to_home=1.3462226469527239E7, vertical_speed=-1.3846077, ground_speed=23.345762, wind_vel=0.21430258, airspeed=22.827028, gps_hdop=1.21, roll=55.46, pitch=-1.92, yaw=133.29, ch3percent=59.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1597, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:46] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:46, systemid=3, lat=35.0738405, lon=129.0923693, alt=27.783, dist_traveled=null, wp_dist=654, dist_to_home=1.3462245123590302E7, vertical_speed=-0.49939704, ground_speed=23.785471, wind_vel=0.20724516, airspeed=23.23636, gps_hdop=1.21, roll=54.01, pitch=0.03, yaw=165.05, ch3percent=64.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1646, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:47] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:47, systemid=3, lat=35.0736276, lon=129.0923682, alt=27.344, dist_traveled=null, wp_dist=632, dist_to_home=1.3462255047465114E7, vertical_speed=-0.41930413, ground_speed=24.063951, wind_vel=0.19635499, airspeed=23.583027, gps_hdop=1.21, roll=47.98, pitch=-0.64, yaw=-170.26, ch3percent=61.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1612, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:48] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:48, systemid=3, lat=35.0734268, lon=129.0922719, alt=26.748, dist_traveled=null, wp_dist=608, dist_to_home=1.346225655193529E7, vertical_speed=-0.72435015, ground_speed=24.199272, wind_vel=0.18209857, airspeed=23.734074, gps_hdop=1.21, roll=34.92, pitch=-2.41, yaw=-153.45, ch3percent=57.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1579, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:49] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:49, systemid=3, lat=35.0732472, lon=129.0921213, alt=25.997, dist_traveled=null, wp_dist=585, dist_to_home=1.3462252581502646E7, vertical_speed=-0.64375186, ground_speed=24.373865, wind_vel=0.16689095, airspeed=23.886778, gps_hdop=1.21, roll=15.79, pitch=-3.31, yaw=-143.51, ch3percent=60.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1605, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:50] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:50, systemid=3, lat=35.0730787, lon=129.0919489, alt=25.584, dist_traveled=null, wp_dist=561, dist_to_home=1.3462246291191084E7, vertical_speed=-0.09567601, ground_speed=24.625023, wind_vel=0.15193053, airspeed=24.075306, gps_hdop=1.21, roll=-0.62, pitch=-2.52, yaw=-139.96, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 05:19:51] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:19:51, systemid=3, lat=35.0729077, lon=129.0917756, alt=25.679, dist_traveled=null, wp_dist=538, dist_to_home=1.3462240044134898E7, vertical_speed=0.3501246, ground_speed=24.868517, wind_vel=0.13730527, airspeed=24.33394, gps_hdop=1.21, roll=-9.14, pitch=-1.48, yaw=-141.22, ch3percent=69.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1690, waypoints=[], home_location={lat=0.0, lon=0.0}}
