[2025-04-10 05:38:55] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:38:55, systemid=3, lat=35.0735392, lon=129.0923347, alt=26.945, dist_traveled=null, wp_dist=622, dist_to_home=1.346225644328562E7, vertical_speed=-0.6108834, ground_speed=24.216747, wind_vel=0.0, airspeed=23.737926, gps_hdop=1.21, roll=40.15, pitch=-1.64, yaw=-158.49, ch3percent=59.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1599}
[2025-04-10 05:38:56] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:38:56, systemid=3, lat=35.0732571, lon=129.0921317, alt=25.852, dist_traveled=null, wp_dist=586, dist_to_home=1.3462252973413214E7, vertical_speed=-0.64225817, ground_speed=24.48276, wind_vel=0.16378291, airspeed=23.949543, gps_hdop=1.21, roll=17.31, pitch=-3.16, yaw=-144.43, ch3percent=60.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1606, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:38:57] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:38:57, systemid=3, lat=35.0730863, lon=129.0919587, alt=25.431, dist_traveled=null, wp_dist=563, dist_to_home=1.3462246741819283E7, vertical_speed=-0.124431536, ground_speed=24.718401, wind_vel=0.15042959, airspeed=24.129732, gps_hdop=1.21, roll=0.14, pitch=-2.56, yaw=-140.41, ch3percent=65.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1655, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:38:58] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:38:58, systemid=3, lat=35.0729156, lon=129.0917851, alt=25.524, dist_traveled=null, wp_dist=539, dist_to_home=1.3462240455919871E7, vertical_speed=0.32177463, ground_speed=24.939617, wind_vel=0.1371491, airspeed=24.358898, gps_hdop=1.21, roll=-9.00, pitch=-1.48, yaw=-141.64, ch3percent=69.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1692, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:38:59] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:38:59, systemid=3, lat=35.0727358, lon=129.0916217, alt=26.009, dist_traveled=null, wp_dist=515, dist_to_home=1.3462235439036395E7, vertical_speed=0.5447481, ground_speed=25.082321, wind_vel=0.12264567, airspeed=24.53357, gps_hdop=1.21, roll=-12.50, pitch=-0.93, yaw=-145.24, ch3percent=70.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1700, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:00] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:00, systemid=3, lat=35.072546, lon=129.0914749, alt=26.62, dist_traveled=null, wp_dist=491, dist_to_home=1.3462232261255795E7, vertical_speed=0.55305785, ground_speed=25.117535, wind_vel=0.10768664, airspeed=24.691402, gps_hdop=1.21, roll=-12.70, pitch=-0.91, yaw=-149.57, ch3percent=69.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1699, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:01] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:01, systemid=3, lat=35.0723478, lon=129.0913456, alt=27.206, dist_traveled=null, wp_dist=466, dist_to_home=1.346223092154138E7, vertical_speed=0.4953738, ground_speed=25.158361, wind_vel=0.094014846, airspeed=24.774143, gps_hdop=1.21, roll=-11.38, pitch=-1.19, yaw=-153.74, ch3percent=68.50, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1685, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:02] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:02, systemid=3, lat=35.0721409, lon=129.0912312, alt=27.745, dist_traveled=null, wp_dist=441, dist_to_home=1.3462231219610369E7, vertical_speed=0.4279647, ground_speed=25.191114, wind_vel=0.08399265, airspeed=24.803589, gps_hdop=1.21, roll=-8.81, pitch=-1.48, yaw=-157.22, ch3percent=67.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1677, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:03] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:03, systemid=3, lat=35.0719297, lon=129.0911298, alt=28.222, dist_traveled=null, wp_dist=416, dist_to_home=1.3462232791833758E7, vertical_speed=0.39332858, ground_speed=25.233608, wind_vel=0.07843226, airspeed=24.802633, gps_hdop=1.21, roll=-6.19, pitch=-1.69, yaw=-159.84, ch3percent=66.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1669, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:04] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:04, systemid=3, lat=35.071715, lon=129.0910374, alt=28.608, dist_traveled=null, wp_dist=390, dist_to_home=1.346223527074027E7, vertical_speed=0.3104451, ground_speed=25.284468, wind_vel=0.07713266, airspeed=24.780802, gps_hdop=1.21, roll=-3.74, pitch=-1.93, yaw=-161.71, ch3percent=66.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1667, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:05] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:05, systemid=3, lat=35.0714985, lon=129.0909507, alt=28.948, dist_traveled=null, wp_dist=365, dist_to_home=1.3462238304247346E7, vertical_speed=0.2688368, ground_speed=25.341722, wind_vel=0.07839942, airspeed=24.774347, gps_hdop=1.21, roll=-1.64, pitch=-2.14, yaw=-162.66, ch3percent=66.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1662, waypoints=[], home_location={lon=0.0, lat=0.0}}
[2025-04-10 05:39:06] {GCS_IP=13.213.62.184, timestamp=2025-04-10 05:39:06, systemid=3, lat=35.0712819, lon=129.0908665, alt=29.242, dist_traveled=null, wp_dist=340, dist_to_home=1.3462241548516547E7, vertical_speed=0.24302442, ground_speed=25.357779, wind_vel=0.08125565, airspeed=24.77577, gps_hdop=1.21, roll=-0.57, pitch=-2.23, yaw=-163.10, ch3percent=65.60, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1656, waypoints=[], home_location={lon=0.0, lat=0.0}}
