[2025-04-10 06:51:25] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:25, systemid=3, lat=35.0724056, lon=129.0913732, alt=27.162, dist_traveled=null, wp_dist=474, dist_to_home=1.3462230478799336E7, vertical_speed=0.48322156, ground_speed=25.201523, wind_vel=0.1097188, airspeed=24.78562, gps_hdop=1.21, roll=-11.46, pitch=-1.11, yaw=-154.13, ch3percent=69.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1690}
[2025-04-10 06:51:26] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:26, systemid=3, lat=35.0721999, lon=129.0912576, alt=27.677, dist_traveled=null, wp_dist=449, dist_to_home=1.3462230621500654E7, vertical_speed=0.39642644, ground_speed=25.246979, wind_vel=0.09982847, airspeed=24.83727, gps_hdop=1.21, roll=-8.60, pitch=-1.42, yaw=-157.61, ch3percent=68.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1683, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:27] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:27, systemid=3, lat=35.0719879, lon=129.091155, alt=28.132, dist_traveled=null, wp_dist=424, dist_to_home=1.3462232132426638E7, vertical_speed=0.35855857, ground_speed=25.278667, wind_vel=0.09268086, airspeed=24.802378, gps_hdop=1.21, roll=-5.76, pitch=-1.56, yaw=-160.16, ch3percent=67.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1672, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:28] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:28, systemid=3, lat=35.0717736, lon=129.0910627, alt=28.485, dist_traveled=null, wp_dist=398, dist_to_home=1.346223460079344E7, vertical_speed=0.2822202, ground_speed=25.299902, wind_vel=0.088937744, airspeed=24.85116, gps_hdop=1.21, roll=-3.28, pitch=-1.79, yaw=-161.79, ch3percent=66.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1668, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:29] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:29, systemid=3, lat=35.0715577, lon=129.0909766, alt=28.77, dist_traveled=null, wp_dist=373, dist_to_home=1.346223765558544E7, vertical_speed=0.23087768, ground_speed=25.275105, wind_vel=0.0883395, airspeed=24.853598, gps_hdop=1.21, roll=-1.25, pitch=-1.92, yaw=-162.77, ch3percent=66.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1664, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:30] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:30, systemid=3, lat=35.0713404, lon=129.090893, alt=29.001, dist_traveled=null, wp_dist=348, dist_to_home=1.3462240982285071E7, vertical_speed=0.19664426, ground_speed=25.348055, wind_vel=0.09075719, airspeed=24.860632, gps_hdop=1.21, roll=0.34, pitch=-2.06, yaw=-162.95, ch3percent=66.40, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1664, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:31] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:31, systemid=3, lat=35.0711225, lon=129.0908093, alt=29.215, dist_traveled=null, wp_dist=322, dist_to_home=1.3462244328859795E7, vertical_speed=0.18409128, ground_speed=25.375708, wind_vel=0.09443196, airspeed=24.861874, gps_hdop=1.21, roll=0.63, pitch=-2.10, yaw=-162.72, ch3percent=66.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1662, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:32] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:32, systemid=3, lat=35.0709054, lon=129.0907248, alt=29.389, dist_traveled=null, wp_dist=297, dist_to_home=1.3462247571736416E7, vertical_speed=0.07119286, ground_speed=25.372875, wind_vel=0.099032216, airspeed=24.854336, gps_hdop=1.21, roll=1.29, pitch=-2.28, yaw=-162.42, ch3percent=66.30, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1663, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:33] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:33, systemid=3, lat=35.0706883, lon=129.0906382, alt=29.527, dist_traveled=null, wp_dist=271, dist_to_home=1.346225064133769E7, vertical_speed=0.12309868, ground_speed=25.427671, wind_vel=0.10373164, airspeed=24.895226, gps_hdop=1.21, roll=1.11, pitch=-2.18, yaw=-161.96, ch3percent=66.20, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1662, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:34] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:34, systemid=3, lat=35.0704719, lon=129.0905497, alt=29.638, dist_traveled=null, wp_dist=246, dist_to_home=1.346225352123117E7, vertical_speed=0.06259994, ground_speed=25.423117, wind_vel=0.10890207, airspeed=24.883276, gps_hdop=1.21, roll=1.10, pitch=-2.23, yaw=-161.43, ch3percent=65.90, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1659, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:35] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:35, systemid=3, lat=35.0702567, lon=129.0904596, alt=29.718, dist_traveled=null, wp_dist=221, dist_to_home=1.3462256212638726E7, vertical_speed=0.041163936, ground_speed=25.38914, wind_vel=0.11514443, airspeed=24.902311, gps_hdop=1.21, roll=0.60, pitch=-2.22, yaw=-161.12, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:36] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:36, systemid=3, lat=35.0700427, lon=129.0903688, alt=29.766, dist_traveled=null, wp_dist=195, dist_to_home=1.3462258789779035E7, vertical_speed=-0.026821468, ground_speed=25.339766, wind_vel=0.12294789, airspeed=24.90779, gps_hdop=1.21, roll=0.33, pitch=-2.35, yaw=-160.93, ch3percent=66.00, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1660, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:37] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:37, systemid=3, lat=35.0698273, lon=129.0902768, alt=29.795, dist_traveled=null, wp_dist=170, dist_to_home=1.3462261333703427E7, vertical_speed=-6.292865E-4, ground_speed=25.384062, wind_vel=0.13010196, airspeed=24.947958, gps_hdop=1.21, roll=0.09, pitch=-2.29, yaw=-160.79, ch3percent=66.10, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1661, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:38] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:38, systemid=3, lat=35.0696125, lon=129.0901846, alt=29.845, dist_traveled=null, wp_dist=145, dist_to_home=1.3462263832811797E7, vertical_speed=0.0086261965, ground_speed=25.333525, wind_vel=0.13909672, airspeed=24.944942, gps_hdop=1.21, roll=-0.02, pitch=-2.32, yaw=-160.70, ch3percent=65.70, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1657, waypoints=[], home_location={lat=0.0, lon=0.0}}
[2025-04-10 06:51:39] {GCS_IP=13.213.62.184, timestamp=2025-04-10 06:51:39, systemid=3, lat=35.0693971, lon=129.090092, alt=29.868, dist_traveled=null, wp_dist=119, dist_to_home=1.346226632704911E7, vertical_speed=0.013537573, ground_speed=25.395048, wind_vel=0.14655821, airspeed=24.96087, gps_hdop=1.21, roll=-0.38, pitch=-2.36, yaw=-160.74, ch3percent=65.80, ch9out=0, tot=0.0, toh=0.0, time_in_air=0.0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, ch3out=1658, waypoints=[], home_location={lat=0.0, lon=0.0}}
